input,output
"const container = document.getElementById('container'); const addButton = document.getElementById('add'); const removeButton = document.getElementById('remove'); // Event listener to add an element addButton.addEventListener('click', () => { const newElement = document.createElement('div'); newElement.textContent = `Item ${container.children.length + 1}`; container.appendChild(newElement); console.log('Element added:', newElement); }); // Event listener to remove the last element removeButton.addEventListener('click', () => { if (container.children.length > 0) { const lastElement = container.lastElementChild; container.removeChild(lastElement); console.log('Element removed:', lastElement); } else { console.log('No more elements to remove!'); } }); refer this this is commonly used",i was thinking of just calling a function when i add new element so to update my list of children
"thats what event listeners are for dont go for this, not important",yaa i was trying to do something like how you did with pokemon api you can add and then remove from the final list
"when ever u have doubt what is .children or .appendlist, always check the object by printing ya everything in that is mostly event listeners",yaa i was doing that since it is confusing which one is which yaa when i tried to read the div it just shows empty since it doesnt wait to be filled
because for some objects u will find nodeList or children,so i wanted to make it so that it will check  the div when each element is  added and then update the code list with new list of divs inside the parent div
yes u can do that inside event listner callback function,got it dada does the eventListener stop working if we rerender the buttons after running the evenetListener once?
It should,it doesnt tho. I think it is because when I redisplay the list it doesnt run the eventListener for the new list as a result we would have to give them eventListener again
The event listeners are kept in the memory until refresh,since it is deleting the original list and then displaying new one
But not sure about their connection to button <This message was edited>,i think they check for current existing elements which they are targeting as a result when elements are deleted they assume no elements to listen to and doesnt recheck on rerendering of the list <This message was edited>
Yes this will happen U can check code of my pokemart on github I'll have to check more about this,yaa i will do that tho it is quite interesting how we have to consider things while state changing certain elements or i made some mistake while working on the eventListeners
It's common Ull have to check by trying mostly,yaa tho we might loss some cases while working on UI dada do you have the pokemon website hosted?
Yes poke-mart.netlify.app,ho dada yours is also same. I had not made a function for the eventListener therefore it only checked once so just like you when i tried added it in a function and then calling it works fine
So did it work now,yes it is working
👍,Dada mala ajjcha session nahi attend karta yenar. Didi chya hardila ahe me. I will cover up the revision session.
Ok Cropped image use karu shaktos Karan background image varti dependent ahe na,hona ani image api varun ghetli ahe tar physically nahi change karta yenar. on the time of rendering nahi ka change karu shakto?
Tasa tar nahi honar <This message was edited> Filters use karu shakto css che but,Kutle filters? Images sathe?
Filter property aste css chi check kar online Ha,Bhagto me dada what was the value you were telling us for the media query for margin
Auto,dada for min-width value
1536px Add some padding inside too,so basically for 4k after laptop L right?
Yes,ho hota ahe. thanks
👍 Well the images are that way from server Can't really do much U can scale it inside and hide black part,yaa thats the issue
But it might cut some part of image,yaa and it would have to check for the black part as well using js wont that be ai then?
Oh so it's only for some images Can do much then,oh how would that be?
What api is that Sem links for some images,https://cdn.dummyjson.com/products/images/fragrances/Calvin%20Klein%20CK%20One/thumbnail.png https://cdn.dummyjson.com/products/images/fragrances/Dolce%20Shine%20Eau%20de/thumbnail.png should I send the images with no issues as well?
yes,https://cdn.dummyjson.com/products/images/beauty/Red%20Nail%20Polish/thumbnail.png
so its dummy api its problem of by hem,https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/thumbnail.png yaa yaa
when we make app we make sure all images are of same proportions cant do much here u can use any other api if u want or let it be <This message was edited>,yaa tho most probably it would be done by ai or make better api img <This message was edited>
making ai for such thing is an over engineered solution no one does that this,yaa Dada some of us have AIML session today. So we won't be able to attend today's
Oh How many students,"3 of us. Me, Aum and Shivam"
Ok fine Will still have to keep the session U guys can attend aiml,Yaa no problem. We will let you know if we have any issues while making the front end
Yes sure,Chalel.
Let these 2 know,Yes dada ajj kai ghetla?
Just asked about project status And taught closures concept,functions been declared inside another function?
Yes These functions have reference to their surrounding state,will have to check them out then
"Its just a concept, nothing new to learn in terms of code U can check on YouTube",is it related to global and local declaration of variables and how it may affect the ways certain code will behave?
Yes,I see i will check it out then
Yes,thank you dada
Hii,dada ajj tu meeting ghenar ahes ka? mala jara ek issue yeto ahe
Oh ha visarloch Gheto,karan jara design madhe issue ahe tar asach nahi vicharta yenar
Ohk Saglyana time adhi call karun bolav,me mug session madhe vicharto
Baki group coordinators na pan sang <This message was edited> Ha,😂 ho sangto
Hii Mi gemini api try karat hoto but tyatun kahi response nahi yet aahe Python code running madhe adakla aahe Gemini api use karnya sathi kay kay lagta Mi console varun ek key banavli aahe Free version pan setup kela aahe,Tu python var karto ahes ka?
Ho,Ek minute
Yes,"function generateContentWithGemini(prompt) { const apiKey = ""AIzaSyAvOF_3VkQLvSBHw_BfPW121Mewyn1zQE8""; const apiUrl = `https://generativelanguage.googleapis.com/v1/models/gemini-1.5-flash:generateContent?key=${apiKey}`; const payload = { contents: [{ parts: [{ text: prompt }] }] }; const options = { method: ""post"", contentType: ""application/json"", payload: JSON.stringify(payload), }; try { const response = UrlFetchApp.fetch(apiUrl, options); const responseData = JSON.parse(response.getContentText()); Logger.log(""API Response: "" + JSON.stringify(responseData)); return responseData; } catch (error) { Logger.log(""Error calling Gemini API: "" + error.toString()); return null; } } const result = generateContentWithGemini(prompt); ya hota maja code. ekda check karun ghe if anything is missing from yours"
Acha tu url through kela,Ho
"mala docs madhe he bhetla te use kela mi import google.generativeai as genai genai.configure(api_key=""YOUR_API_KEY"") model = genai.GenerativeModel(""gemini-1.5-flash"") response = model.generate_content(""Explain how AI works"") print(response.text)",Tu error handling ekda karun pahatos ka?
Ha baghto But api chya dashboard var baghtoy Kahi traffic nahi aala ahe Last 11:50 la ala hota Ata run kartoy Tyacha kahi nahi Navin api key try karto,Ho Pun limit nasla paheja
Ha Mi te free plan pan ghetlay,"Free: 15 RPM 1 million TPM 1,500 RPD he tyancha docs madhe hote"
Ohk,Ekda rest ni karun bhag mug nahitar. Jar dusarya api key ne nahi hot asel tar
ha baghto Navin api key ne zala 👍,asa kasa? pahele api key expire jale?
no idea maybe free plan activate karaychya adhi hoti mhanun,Maybe
Hii Udya ratri 9 la revision session sathi possible hoil ka sarvanna Aj mala revision gheta nahi yenar,Dada Sunday la abheshik sir rancha lecture asto 9 la. To ghenar ahes ka?
Ho Abhishek sir na nahi possible udya Tumhi loka kadhi nighnar aahe banglore sathi Ya sathi vichartoy,Chalel pun Monday morning la sarve bengaluru sathe janar ahet tar maybe nahi pun yevu saktil
Ok morning na,Ho Mostly tare yala paheje
Mag gheto mi 9 la,Ho chalel
Yayla hava karan session astoch apla,Barobar ahe Yetil
👍,Sir navte ghenar dada?
Ho sirach lagna aahe udya <This message was edited> I'm serious Mhanun possible nahi siran na <This message was edited>,😅 Barobar ahe
Sangat basu nako konala,Ho re. Me nahi sangat Nahi sarve lagnala jatil udya Sir ranna congratulations karava lagel nantar.
Yes,dada do we have a revision session today?
Yes 5:45,chalel
"Hii Kay zala, nantar karuya ka",Ho ekda ghari pohochala var karuya. Chalel ka?
Ho Hi Mi vicharayla visarlo Siran na vicharun snag kiti vajta yaycha te,Ho me sangto vicharun timing
Ho,sir bolle sakale sangtil
Ok,Dada sir boll meeting would be around 10PM today.
Ok,Dada maybe time will change. I will let you know regarding timing. Since few of the guys have session today.
Yah,Dada the session would be tomorrow at 10PM.
Ok,Dada parat ekda change jala. 10.45 la. Amcha session ahe mahanun.
Ok,Dada yeto ahes na?
Ha just a min Alet ka sagle,Yetat ahet. Call karto ahe.
Ok Last time cha zoom cha idea discuss kela ka siran barobar,Ho idea discuss kelela Depth madhe navta pun
But siran cha reaction kay hota Work karu shakto ka ya var,Sir bolle discuss Karu mahanun.
Ok,dada kasa karna ahe business logic cha? sessions ghenar ahe ki group study sarka
Group study type ach asnar Madhe madhe mi yenar help karayla,Oh nice. Ani code sathe mug GitHub? Ki kasa?
Github Mi yacha access dein,Ho chalel dada kadhe pasun chalu karacha  ahe?
Kadhi time ahe tumhala Ani kon kon seriously interested ahe,"Kahi idea nahi ahe. Kone kahi vicharla nahi ahe. Monday, Tuesday, Saturday, Sunday la lectures astat. Nahitar anytime."
Saturday Sunday konte lecture? Robotics?,Practice sessions and web on Sunday. Robotics cha idea nahi ekda vicharun sangto.
Ha web tar ahech But te ratri asnar Ani tya sathich he kartoy apan,Ho Sunday la full day free ahe. Only session at 9
Web cha final goal is kahi tari real world implement karna So Sunday kivha apla revision session nantar jar free asal tar tevha karuya,Dada web nantar AIML cha revision ani mug Android cha. Tar teva nahi honanar
Tu tuzya friends sobat bola Ani je actually intrested astil Tyanna ghe sobat Acha ok,Te tar ahe.
Tu kiti course kartoys aata,2
Ok Mag let's do sunday,Sarvana navta sangacha hota ka? Mala vatlela sarvana hota.
Sarvannach ahe But mi 2 years pasun baghtoy thodya divsa nantar palun jatat 😂,Facts 😂
Mhanun vichartoy actually interested kon ahe Sagle join Karu shaktat but je actually work karnar tyancha sobat jasta coordinate karu shakto,Chalel. Pun mug group var nahi vicharta yenar
Yah asa kahi bolu nako konala Sagle yetil Ani je interested astil te thambtil So fakta saglyana sangaycha try kar Sunday karu,Ho nahitar te barobar nahi vatnar.
Yes Ani tumhi 3 tar nakki asnar na,Group var nako taku join karala mug? 3 kon?
He mi siran sobat bolun Sangto ekda <This message was edited> Tya divshi mett madhele,Ho chalel. Te better ahe Oh ha me sangto. Mostly astil Doge karnare ahet karan.
So yah tumhi tigha atta just to zoom cha idea dila hota na tumhi tya var research kara Ani react baddal thoda baghun ya,Me Ani Shivam ne kela tar chalel ka react cha? Ki only basic idea?
Work actually adhi pasun ach chalu karaycha hota but mala pan jasta time bhetat nahi,Ho chalel ke sangto tyana
Yes adhi basics bagha mi Sunday la ajun idea dein,Chalel done 👍 Dada ekda sir ranna vicharun timing sangshil.
Ho actually mala pan tyancha sobat bolta yet nahi aata Tu ekda asach vichar groups cha kasa karta mhanun Sir mhanalele na groups banva mhanun,Ho bolle tar hote sir groups cha Personal var vicharu ka?
Ho vichar Ani jar possible zala tar vichar Sunday la karu ka session Mi vicharat hoto te sang,Chalel vicharto me
Yes,Dada sir pune la ahet for yes+ tar mostly te alavar boltil.
"Okk var server = http.createServer(function (request, response) { switch (request.url) { case ""/AppClientStyle.css"" : response.writeHead(200, {""Content-Type"": ""text/css""}); response.write(cssFile); break; default : response.writeHead(200, {""Content-Type"": ""text/html""}); response.write(htmlFile); }); response.end(); }","const http = require('node:http'); const fs = require('node:fs'); const path = require('node:path'); const server = http.createServer((req, res) => { if (req.url === ""/"") { // Serve index.html const filePath = path.join(__dirname, 'index.html'); try { const output = fs.readFileSync(filePath); res.writeHead(200, { 'Content-Type': 'text/html' }); res.end(output.toString()); } catch (err) { res.writeHead(500); res.end(""Error loading index.html""); } } else if (req.url === ""/restaurant_list_screen.html"") { // Serve restaurant_list_screen.html const filePath = path.join(__dirname, 'screen', 'restaurant_list_screen.html'); try { const output = fs.readFileSync(filePath); res.writeHead(200, { 'Content-Type': 'text/html' }); res.end(output.toString()); } catch (err) { res.writeHead(500); res.end(""Error loading restaurant_list_screen.html""); } } else if (req.url === ""/restaurant_details_screen.html"") { // Serve restaurant_details_screen.html const filePath = path.join(__dirname, 'screen', 'restaurant_details_screen.html'); try { const output = fs.readFileSync(filePath); res.writeHead(200, { 'Content-Type': 'text/html' }); res.end(output.toString()); } catch (err) { res.writeHead(500); res.end(""Error loading restaurant_details_screen.html""); } } else if (req.url == ""/style.css"") { // Serve CSS files const filePath = path.join(__dirname, 'styles', path.basename(req.url)); try { const output = fs.readFileSync(filePath); res.writeHead(200, { 'Content-Type': 'text/css' }); res.end(output); } catch (err) { res.writeHead(404, { 'Content-Type': 'text/plain' }); res.end(""CSS file not found""); } } else { // Handle 404 res.writeHead(404, { 'Content-Type': 'text/plain' }); res.end(""Page not found""); } }); server.listen(3000, () => { console.log('Server running at http://localhost:3000/'); }); const filePath = path.join(__dirname, ""/style.css""); Dada restaurant cha project tailwind madhe thevla tar chalel ka? Ki css madhech thevu?"
Kasa hi chalel But node madhe tailwind kasa work hota te bagh,Chalel. Dada please send the admin password and email for jkb website
Yah jkb.poonam@gmail.com jkbjgd123,Me bakichya lokana pathavto
Fakt baki 3 na,Ho sir bolle aum la pun ghyala Mug 4
Ha,Me tyala sakale sangun mug pathavto
Ha,Chalel dada good night
Good night,Dada database cha model pun pathavna please To pun lagel na
Are site var distay te use kar,Chalel
Database cha actually 2 vegla table kelay mhanun,Chalel tech gheto mug
Ha,dada ajj web cha revision session thevanar ahes ka?
Aj ratri free ahet ka sagle,Kahi idea nahi he. Mostly astil exam vagere nahi ahet tar.
Ok Gheto mag,"Ho dada dada can we make public folder in react for static images, fonts, icons just like how we make it in express?"
Yes in vite they already make one by default <This message was edited>,yaa tho it is not working for me for some reason
Remove /public from paths,I have not put /public for the links
Add / before icons,nothing changed same it is showing alternative it was working before I pushed it to git this afternoon now it shows the alternative
Just restart,jala 👍
Ok 👍,dada revision session ahe ka ajj?
Ho,Website Link:- https://jkb-website.netlify.app/ Backend Link:- https://jkb-website-a55x.onrender.com/api/users dada me repo private thevle ahe tar collaborator madhe add karu ka tula? <This message was edited>
ho,dada tuja username kai ahe?
Swaraj2004,me invite pathavla ahe tula
Ok Hii Maza nav add kar rejoin AIML madhe,noted
Hii Mi tuza ani devansh che task ale ahet Baki 2 cha Kay status ahe te sang vicharun Ani tuzya sathi ek task hota let me know when u are free,Aum ani shivam bolle te host karun pathavtil Ho bolna. Mala assignments karachr ahet te 2-3 hrs madhe hovun jaail
Ha just apla codebase share karaycha ahe tula ani thoda sangaycha ahe Baki 3 ale tar changla hoil,Ho chalel. Mala chalel kadehe. 12 la sangu ka?
Ho baki chyancha confirm karun sang ek time,Chalel Ajj 4PM la karuya. Sarvana chalel.
Ok done Aj mi revision thevla tar yetil ka Ani last time Kay cover kela hota,Ajj sir rancha pun lecture ahe. Tar idea nahi ahe yetil ke nahi
Hmm ok will keep revision some otehr day,Mongoose Ghetla sir ranni
Ok Let me know when ready,Ho join karto ahe. Me kela call yetat ahe
Ha https://www.youtube.com/watch?v=vwSlYG7hFk0 https://www.youtube.com/watch?v=qURCyd3ycfw&t https://youtu.be/bugO1tmSDpM?si=v9X2g0uKGLK3zccL,"🎊Welcome to our WhatsApp group for Your AI-ML-DS L3PP batch & Career Growth along-with the Mentorship Program by Vinayak Sir ❤️ https://chat.whatsapp.com/D6RAApLoDHL21dELBq31ZP ✅Fixed Schedule will be given in group description of WA group We have assigned 2 trainers🎊 MT : Master Trainer PT : Practice Trainer For your small batch to get 💯% productivity which will define your career growth🎊 ➡️Level up your journey, Keep practicing 💪 & ask all your doubts in *Live Session* & our WhatsApp Group. ➡️ Attend all MT, PT & Practice sessions ➡️ Submit assignment to MT &  PT in WhatsApp Group - Team JKB 💙"
null,Dada udya revision session honar ahe ka?
Tumcha ahe ka dusra konta session,aiml cha ahe pun to sir bolle choose karala timing. mahanun vicharat hoto nahi kahi janan cha robotics pun ahe
"Garaj ahe ka web cha revision chi, siran ne pan 2-3 session ghetle ahet na",Ho Chalel mug no issue
Ha Hii Aj kadhi free ahes,Sir ranni ek task dila ahe. Te jala ki hovun jail
Ok sang free aslas ki,Ho chalel
"https://excalidraw.com/#json=va80hexO6zT-FOPosZZgP,t2jTmgGeZECkSwKh_zPxQA Hii Aj kahi pan karun frontend complete karaycha ahe Backend almost zala ahe Bakichyanna sang Aj meet karuya Ani udya testing karnar",Chalel
Karan parva aplyala time nahi bhetnar mtw mule,Meeting kadhe gheche ahe?
10 la free ahat tar sanga,Group var message thaku
Ho Sahil la add kar ani,4 jana chalel na?
Ho Bas aata tevdhech,Chalel
Mi Sagla sangnar ahe so imp ahe Join kar Hii,hello
Tu karat ahes ka site cha,professor cha?
Ha,ho me setup karat hoto
Ok Zala ki sang,ho
Mi ghari pohochlyavar meet madhe yein,chalel
Python 3.9 Ani consts.py madhe db chi link tak Zala ka Ye meet madhe,"ho, frontend run karto ahe zoom?"
"Ha Yeto mi 5 mintat Frontend madhe Swaraj branch madhe ja MONGO_URI = ""mongodb+srv://swaraj:swaj2004@cluster0.pz0dp.mongodb.net/"" backend consts Hii Meet madhe ahe mi 6651e4e3cd97dc0e2208beaa http://127.0.0.1:8000/api/v1/professor/lectures?prof_user_id=6651e4e3cd97dc0e2208beae","KeyError: 'updated_at' {'_id': ObjectId('6651e4e3cd97dc0e2208beae'), 'full_name': 'Swaraj Chavan', 'username': 'swaraj2004', 'email': 'swaraj2004@gmail.com', 'password': '$2b$12$K0MJYRUmpHtmqWk.iZLu9elgB4RW2H9MJp5l5X/8gedYdOhOu2iXa', 'phone': '8080903080', 'location': 'Panvel', 'role_id': ObjectId('6615133863116bcd91feaac7'), 'created_at': datetime.datetime(2023, 5, 25, 13, 17, 23), 'updated_at': datetime.datetime(2024, 5, 25, 13, 19, 31), 'updated_by': '65da0982dcde71263736aa1a'} {'_id': ObjectId('6651e4e3cd97dc0e2208beae'), 'full_name': 'Swaraj Chavan', 'username': 'swaraj2004', 'email': 'swaraj2004@gmail.com', 'password': '$2b$12$K0MJYRUmpHtmqWk.iZLu9elgB4RW2H9MJp5l5X/8gedYdOhOu2iXa', 'phone': '8080903080', 'location': 'Panvel', 'role_id': ObjectId('6615133863116bcd91feaac7'), 'created_at': datetime.datetime(2023, 5, 25, 13, 17, 23), 'updated_at': datetime.datetime(2024, 5, 25, 13, 19, 31), 'updated_by': '65da0982dcde71263736aa1a'} INFO:     127.0.0.1:59004 - ""GET /api/v1/student/attendance?student_id=6652f3ab09b5dcd29ad95e68 HTTP/1.1"" 200 OK INFO:     127.0.0.1:59043 - ""GET /api/v1/admin/subjects HTTP/1.1"" 200 OK Dada jala ahe ka? null"
Can't talk now. Call me later? In meet,Okk
Will do tomorrow,Ok Me zhopto mug ata. Good night
Ho gn null Hii 8:30 meet yeu shaktoa ka,Dada tu free ahes ka? Mala ek issue yeto ahe mongodb cha Data nahi fetch hot ahe
Ha,Meet var chalel ki screenshot pathavu me?
Adhi ss pathav mag baghuya meet var yaycha ka mongo db madhlya data cha photo pathav restaurant property kay ahe,kutla restaurant cha menuitem item ahe te sangto. restaurant objectid ahe <This message was edited>
i think tyacha type pan object id asayla haa,ho tyavarun sort karto ahe me for menuitems
pan tu data base madhe as string thevlay <This message was edited>,🥲 kalala me 1hr shodada hoto issue me code check karat hoto.
Bagh thik karun solve zala ka,ho
"Experienced player here 😆 Atta jkb backend madhe he khup zhol hote Karan to array madhe objectid nahi taku shakat, tyat as string ash thevava lagta",Mag manual change karava lagla ka?
nahi database thk hota but ha issue hota backend la typecast karaycha,Me direct fead kela data from chatgpt
Ha,Mahanun images pun nahi ahet
Ha images sathi mostly manually karava lagel base64 madhe convert karun kivha links thevun,Ho na. Te ek kam karava lagnar ahe Atatar nahi karna te Asa way ahe ka ki sarve restaurants ka type eksath change Karu sakto mongodb atlas madhe?
are gpt la adhich list of images de web varun ani mag data banvayla sang,Oh interesting. Te charto. Purna data udavun. Mug to id pun takel accordingly
asel but mala nahi jamla kadhi neet Ha,Karto me try ani sangto
