input,output
"Bro tughya kadhe list ahe ka, ki kon-kon kuthlya stop la chadnar ahe",Sion la 3 PPL ahet
👍🏻 Bapre sagle dadar la ahet,Ho Maybe close from home
Haa,Bhejshil sion la ale ahet ki nahi 6.10 parenta
Kai??,Please keep an eye on who have not yet reached sion before 6.10 That way we won't have to wait when we reach sion
Sir yes sir🫡 bro ethe thambel na bus?? https://maps.app.goo.gl/AthmEFmZiSSvs4EZ7,Sion circle la thambanar ahe ka?
hoo sion circle highway tech ahe,Thambavta yenar ka tethe?
sir ni stop set kela ahe na to,Ho but it shouldnt have no parking Can you check location to stop bus at sion tomorrow? Then just share location....
tithe traveler bus thambtat regularly,Chalel
mala nahi vatat no parking asel,Chalel chalel. Thithek thambavu
te kai na lokan la exact location dili tar changla ahe na me aman la ani krishnavini la send kela ahe same <This message was edited>,Ho chalel you will have to check for FE ppl too will call you regarding that Bat ahe ka?
Nahi Ball ahe Single tennis List vagere kahi asla tar de,List nahi share Karu shakat. Me call karen no worries You deleted this message Konala deu nako FE che ahet Call PPL who have not come null
All in sight sir🫡,Roger
Aaj lecture nai??,Ho ashmit link pathavto ahe
sir la msg kartos ka??,ho bhakto
🫡,sir rani nahi bhaghetla message
"Aik na, mala bank management system cha code send kar na Je tu sunday la laptop var dakhav lela","import java.util.Scanner; public class BankApplication { public static void main(String[] args) { Scanner sc = new Scanner(System.in); System.out.println(""Enter your 'Name' and 'CustomerId' to access your Bank account:""); String name=sc.nextLine(); String customerId=sc.nextLine(); BankAccount obj1 = new BankAccount(name,customerId); obj1.menu(); } } class BankAccount{ double bal; double prevTrans; String customerName; String customerId; BankAccount(String customerName,String customerId){ this.customerName=customerName; this.customerId=customerId; } void deposit(double amount){ if(amount!=0){ bal+=amount; prevTrans=amount; } } void withdraw(double amt){ if(amt!=0 && bal>=amt){ bal-=amt; prevTrans = -amt; } else if(bal<amt){ System.out.println(""Bank balance insufficient""); } } void getPreviousTrans(){ if(prevTrans>0){ System.out.println(""Deposited: ""+prevTrans); } else if(prevTrans<0){ System.out.println(""Withdrawn: ""+Math.abs(prevTrans)); } else{ System.out.println(""No transaction occurred""); } } void menu(){ char option; Scanner sc =new Scanner(System.in); System.out.println(""Welcome ""+customerName); System.out.println(""Your ID:""+customerId); System.out.println(""\n""); System.out.println(""a) Check Balance""); System.out.println(""b) Deposit Amount""); System.out.println(""c) Withdraw Amount""); System.out.println(""d) Previous Transaction""); System.out.println(""e) Exit""); do{ System.out.println(""********************************************""); System.out.println(""Choose an option""); option = sc.next().charAt(0); System.out.println(""\n""); switch (option){ case 'a': System.out.println(""......................""); System.out.println(""Balance =""+bal); System.out.println(""......................""); System.out.println(""\n""); break; case 'b': System.out.println(""......................""); System.out.println(""Enter an amount to deposit :""); System.out.println(""......................""); double amt=sc.nextDouble(); deposit(amt); System.out.println(""\n""); break; case 'c': System.out.println(""......................""); System.out.println(""Enter an amount to Withdraw :""); System.out.println(""......................""); double amtW=sc.nextDouble(); withdraw(amtW); System.out.println(""\n""); break; case 'd': System.out.println(""......................""); System.out.println(""Previous Transaction:""); getPreviousTrans(); System.out.println(""......................""); System.out.println(""\n""); break; case 'e': System.out.println(""......................""); break; default: System.out.println(""Choose a correct option to proceed""); break; } }while(option!='e'); System.out.println(""Thank you for using our banking services""); } }"
"thx meeting madhe koni navta mhanun breakout room close karayacha option yet hota, mugh me leave keli meeting",Are I became host after sir left so when I left I gave the position of host to you
ohhhhhhh,"import java.util.HashMap; import java.util.Map; public class Main { public static void main(String[] args) { Map<Integer, Express> vinayak_map = new HashMap<>(); vinayak_map.put(11,new Express(""Amol Parad"",20000)); vinayak_map.put(24,new Express(""Amruta Auti"",20000)); vinayak_map.put(53,new Express(""Unknown"",200)); for(Integer val : vinayak_map.keySet()) if(vinayak_map.containsKey(val)) System.out.println(vinayak_map.get(val).name + ""\t"" + vinayak_map.get(val).salary); } } class Express { String name; double salary; public Express (String name, double salary) { this.name = name; this.salary = salary; } }"
me questions txt file madhe takle ahet te code madhe taktos ka plz nahitar sangun tak konala tari,chalel tujhe questions pathav mala me sangto konala tare
me takto ata jevdhe hoil tevdhe chalel ka rahile tar sangto,sangto me konala tare send kar questions phata
"k INHERITANCE: HARD: Q.1 What is the difference between ""superclass"" and ""subclass"" in Java? - Superclass is more powerful than a subclass. - Subclass is a derived class that inherits properties from the superclass. >>correct - Superclass can access members of the subclass. - Subclass can access private members of the superclass. Q.2 Which of the following statements is true regarding constructor inheritance in Java? - Constructors cannot be inherited in Java. - Subclasses can inherit constructors from their superclass. >>correct - Constructors must have the same name as the superclass. - Subclasses must redefine constructors from the superclass. Q.3 Can a subclass override a private method from its superclass? - Yes, it can. - No, it cannot. >>correct - Only if the subclass is in the same package as the superclass. - Only if the subclass explicitly declares the method as 'protected'. Q.4 What happens if a subclass attempts to call a non-existent method of its superclass? - Compilation error. - Runtime error. >>correct - Method call is redirected to the superclass. - No error, but the method call results in a null value. Q.5 Which keyword is used to prevent a method from being overridden? - final >>correct - static - private - super MDEIUM: Q.1 In Java, what is the purpose of the super keyword? - To call methods of the superclass. >>correct - To create a new object of the superclass. - To access static members of the superclass. - To prevent inheritance of certain members. Q.2 Which of the following is true about method overriding in Java? - Subclass can reduce the visibility of the overridden method. - Subclass can increase the number of parameters in the overridden method. - Subclass cannot change the return type of the overridden method. >>correct - Subclass can remove the throws clause from the overridden method. Q.3 Which of the following is NOT a valid inheritance relationship? - Class inheriting from an interface. - Interface inheriting from a class. >>correct - Class inheriting from another class. - Interface extending another interface. Q.4 Can a subclass constructor call multiple constructors of its superclass in Java? - Yes, but only if the superclass has multiple constructors. >>correct - No, a subclass constructor can only call one constructor of its superclass. - Yes, regardless of the number of constructors in the superclass. - No, a subclass constructor cannot call any constructors of its superclass. Q.5 What is the role of the @Override annotation in Java? - It indicates that a method is private and cannot be overridden. - It specifies that a method is to be inherited from the superclass. - It marks a method as implementing an interface method. - It indicates that a method overrides a superclass method. >>correct EASY: Q.1 Which keyword is used to implement inheritance between classes in Java? - inherit - extends >>correct - implement - inheritance Q.2 Which method is called by default when an object of a class is created in Java? - finalize() - initialize() - construct() - constructor() >>correct Q.3 In Java, can a subclass access the public members of its superclass directly? - Yes >>correct - No Q.4 Which of the following is NOT a benefit of inheritance in Java? - Code reusability - Reduced complexity - Encapsulation >>correct - Polymorphism Q.5 What is the relationship between a superclass and a subclass in Java? - Unidirectional - Bidirectional - One-to-many - Inheritance >>correct",chalel
me karto maza vala thamb jara nahi zala tar sangto mala kantal ala ahe abhyas karun hehe,chalel nahitar ashmit la sang
yes rps madhe karu na??,ho
rps.java inheritance cha zala 🫡,Great 🫡 Update on rps
rps madhec ahe na ekdam last madhe,Put it as per hashmap inputs
Ha kela te Aaj offline ahe ka??,Mahit nahi sir ranni nahi dangitla ahe *sangitla
Haa na ooiiii mala sir ne dile la assignment sang na maza laptop sign out zala tya time la T_T,make a code showing abstraction take any example
oki thx,no problem kelas ka re tu questions? ekda kishnavehi ani Mihir he bolu khe
This message was deleted Nahi re ??,I meant they are the ones who are not yet done. Krishnaveni has got the questions but has not yet put it in replet Ask mihir if he has not done it then can you do it please *?
k i will ask him to do so,Chalel
Mihir bol la karto Me tyala call var sangitla ahe kai karayacha,chalel
Bro mala aaj late hoil join karayala,thik ahe sangto me siranna na
bro offline kadhi honar ahe?? *offline lecture,offline? sir bolle ahet ka? mostly sunday
haa kahitari tuesday la ig confirm karun sangto,Sir bolle? Kadhe?
Ho Monday la blat hote na sir Me ashmit la vicharnar hoto pan ut ahe na tyachi Msg takun deto,chalel
tu vichartos ka maza lecture chalu ahe,konala?
ashmit maybe aum la vichar,kai? offline ahe ka?
ho,sir rangtil na offline ahe mahanun chill
haa pan ek juna friend yenar ahe maza gudi padva la tar tevha asla tar vande ahet,ekda sir ranna vicharu
me ahe robotics chya lecture madhe vicharun gheto mugh,Chalel
sir te offline session cha sunday la sangtil or maybe later btw tula kandivali madhe counseling kuthe hote te mahiti ahe ka,"🎯  *MISSION ENGINEERING !!!* Catch 25 invites students to attend an offline seminar on: *Only for Engineering Aspirants* with *one parent* compulsary *""BRANCHES OF ENGINEERING""* *This seminar will give you insights & complete idea about different branches of Engineering, Various colleges, Cut-offs and Selection Criteria* 📒 *Contents of seminar:* 1. Understand the various branches of Engineering (Computers, Electronics, Artificial Intelligence, Machine Learning, Mechanical, Chemical, etc) 2. Engineering colleges in Mumbai (Govt, Private, Autonomous, etc) 3. Documents that you need to keep ready for Engineering admission 4. Interactive Question Answer session 🟠 Compulsory for all Engineering Aspirants 🟠 ➡️Date : *16th March,2024 - Saturday* ➡️Time: *11 am* ➡️Venue: *JES COLLEGE AUDITORIUM* https://g.co/kgs/Rge3VY JES College ,Near Ismail colg ,Station for Road ,Jogeswari east ,Mumbai - 400060 It was here last time"
ohhh ya velis kandivali la na sir bol le address send kartil,velis?
this time = ya velis hinglish hehe 😂,😅😅 buddy 6.30? tu kuthe raha tos?
chunabhatti late hoil na nahitar,yevada lamb ahe?
kahi dusra way asel tar sang ho time vachel apla,train is best bus ne ajun vel hoyel
haa luckily megablock nahi ahe western la,ho tu bone thambanar ahe ka? sessions?
plan tar nahi ahe sir ne bola la tasa maghi pan exam ahe monday la,are ha tare yeto ahes?
tughi pan ahe?? sir ka hukum sar aakho par🫡,sai ahe
😂😂,exam tar kai har sunday la hote
new quest ahe XD,*monday bet your life on it
those snacks better be worth this 🤞🏻😂,The only thing we want from that session
international speaker pan yenar ahe na useful asel vat ta mugh tar 🤞🏻,Sir was saying he is a really good speaker Telhe eksath dadar la milnar ahot na?
yes,Devansh la mahit ahe ka?
ha grp var takla na tyane react pan kela,Chalel
takto tari ekda msg,Me takla message tyala
XD me pan just takla,😂🤦‍♂️ Me bandra la chadel Nahitar mala ulta padel
Ok chalel Mugh kandivali pasun ekatra jau,Chalel 7.30 parenta kandivali la pochacha ahe na?
Hoo,Bhaiya  ahet ka session madhe?
rejoin karat hote te,Acha Me lagg hoto ahe Simulation and zoom is too much for my laptop
ohhh heavy driver hai flutter,baggna me meeting chya baher alo
Bro mala parat sangu shaktos ka kai karayacha ahe Sir ni kaam dile la techyat laksha hota maza😅,Today's discussions: 1) Make 3 different screens from the image send in group 2) Make a drive folder and save all your assignment folders their. Send me the link for that drive folder.
Assignment folders meaning??,Make a drive folder to save all your future and current assignments Sir will check through thar link *that
.dart file = assignment file??,If you have make multiple .dart files for assignment then the whole folder or else just .dart file Along with pictures if you wish Tho I would say make a universal folder Give me the link of universal folder
Ohk,Then just add flutter folder of your project In that universal folder
Haa universal folder ke andar kya hoga vo jan na tha Yup,Your flutter folders of assignment If you want add images of screens
Me actually new screens banavto ahe as per the tasks given Class homeScreen() sarkha,Then add the folder
Bro borivali la kadhi pochaicha ahe??,5.30 parenta Yenar ahes ka?
Maza 4:45 paranta lecture ahe Professor la sangun pavkar nighto,Borivali station la Bhag kiti vel lagel Tula yenya sathi?
45 min Wadala pasun nighel,Chalel aramat ye Me lavkar bolavto ahe Karan sir bolle jara lavkar yaa nahitar gardi hoyil
7 la chalu honar ahe na vat ta Karan ki sir bol le 2hr asel Ani 9 paranta asel Mugh 7 to 9🤔,Sir rancha message
Ohk,8104066957 Ravi Pande Sir's number vinayak sirrani kaal dilela ha number tya number varti message karaycha aahe ki  I am ready for database and notes updates Tu pun hotas na jeva sir database cha sangat hote? Ajun kon hota?
Me navhto vat ta Sir ne grp var msg kele la te baghitle la fakta,Acha chalel Tula karaycha asel tar message tack tya sir ranna
Kadhi paranta msg karu shakto??,Bhag ajj kar. Mala kaustubh ne sangitla
K baghto bro free ahes ka??,ho bol sorry jevat hoto
Python doubt,Kai ahe doubt?
te sir la vicharat hoto na to,Kai hota doubt pun? 😅 Me navta ekala hota
"doubt vihcharaicha chance nahi dila sir ne ```def update_list(lst): print(f'Before update {id(lst)}') lst[2] = 45 lst[0] = 65 lst.append(32) print(f'After update {id(lst)}') return lst def change_list(lst): print(f'Before change_list {id(lst)}') lst = list(lst) print(f'After change_list {id(lst)}') return lst my_lst = [33, 44, 55, 32, 22, 67, 78] print(f'memory address of my_lst is {id(my_lst)}',end="" --line 16\n"") print(update_list(my_lst),end="" --line 17\n"") print(my_lst,end="" line 18\n"") print(change_list(my_lst),end="" --line 19\n"") print(f'here we are returning tuple and accessing it\'s address {id(change_list(my_lst))}',end="" --line 20\n"") print(type(change_list(my_lst)),end="" --line 21\n"") print(my_lst,end="" --line 22\n"") print(type(my_lst),end="" --line 23\n"")``` <This message was edited> ha code run kar tula kalel doubt *s* line 20 madhe cha output madhe joo address ahe ani tychya next line cha jo address ahe te doni same ahet but different asayala hava sry previous nvm clear zala",tu yede print kele ahes ke ata kahis samjat nahi ahe
🥹👍🏻,only print what your doubt is and send me
nai rahude mala samajla,nahitar tujhe doubt shodyala vel lagel chalel
thx 😁👍🏻,breakout room no3
https://drive.google.com/drive/folders/17dQ7VYMT56HBuzDLRoeAGSCgkY4rGpcY?usp=sharing Link for L3PP assignments/projects let me know if it works docs madhe output screenshots update karnar ahe thodya velat,add kela ahe me takshil message
Yes,Android cha session join kar please
"Thx bro sangitlya badhal, me 9 samajle la🫶🏻",no problem mahanun me ahe na. 😊
bro apla l3pp cha assignment kai ahe sangtos ka?? aplya la sagle* widgets use karun kahi tari banvaicha ahe?? ki te contacts cha app banvai cha ahe??,"add alert, snackbar in contact assignment"
Me late join karel,kare?
Abhyas🥹 Exam nahi sample,acha join karun thev <This message was edited>
Haa Bro me aaj late yeil ani maza video pan chalu nahi karu shaknar Papa chi retirement trip/ party plan keli ahe,Chalel Lecture chalu jala ahe Please let me know your statues regarding the timer assignment
chalu nahi kela T_T,Are join karala call kelela. Nantar pahila tu ahes
"haa, tyamule call back pan nahi kela",null You deleted this message
L3PP nahi ahe ka?? breakout room 4 madhe yayla sang,are sorry majya lashat nahi ala ke 8.30 jale thanks
XD,😅 Sir ghetat ahe ki tu?
me only students,Okk Me 5-10 minutes madhe join karto.
Ha join karto ahe Thx👍🏻,👍
bhai laptop lock zala restart karun join karato,😅 kai re ye restart karun <This message was edited> kai zala laptop la? Join the app dev group sir has send on group and leave our current L3PP group. https://chat.whatsapp.com/EXCp7xzoJZuCydNS16Arhk Please join the group for web
Bro me join nahi karnar ahe Me baher ahe Aaj ani udya Ganpati sathi,Acha no problem Ekda vinayak sir ranna inform kar please
K Aaj bhi nahi kar paunga join Travel kar ra,Are join karun thek
Me travel karto ahe bus ne Charging is necessary,😅 Tula Android ka project badal mahit ahe ka? Ki tu absent hotas last session?
Me absent hoto Pan aplya la apla idea implement karai cha hota na,Ho pun bhaiya ne pun topic dila ahe karala
Achaa te nai mahit,Me ek meet ghevun sangto
"K chalel mera exam aur SIH ka submission hai kal, to mai aaj join nahi karunga",acha ok
Bro kaal kai shikavla te send kar na,Sir ranni flex box shekavla Flex Tutorial: https://www.samanthaming.com/flexbox30/ Yechat sarva ahe
👍🏻 Bro sir ata kai bolat hote ai ml cha?? Sessions chalu ahet ka??,Nahi
Ohk Mala vatla ai ml cha chalu zale sessions,Chalu ahet na? Sir bolat hote startup opportunity batdal *baddal Ani every Saturday sir ranncha lecture honar
nai re AI ML che thodi chalu ahet,Sir bolle te startup opportunity badal boltil when there are around 38 of JKBians Present Mala vata mostly ya Saturday la sangtil
haa are te mahit ahe,Oh ok
pan sir tula vicharat hote na AI ML che sessions kadhi ahet,Mala vatala tu navtas sorry Ahh ho
me hoto 👍🏻 Mugh ahet ka chalu??,sir ranna vicharun paha ekda
tu karto ahe ka??,web karto ahe re me
same XD,tu ekda ratri jaga ahes? exam? amcha checking ahe tar jagava lagat ahe 😅
nai te web cha course karto ahe flex cha,determination
checking?? aree time bhetla re ata mhanun,ho are eka subject che project submittion ahe udya sahe  ahe re. me tar haat pun nahi lavala ahe chal good night
GN 👋🏻 ha vala re,null Session join kar bro. Sir vichartar ahet kuthe ahes?
Pune madhe ahe re Disconnect hot hota sarkha,Re tu tujhe assignments excel madhe nahi bharle ahes ka? Me pahat hoto tar tuja nave nahi disla
Te course karayacha ahe te ahe ka assignment??,"https://docs.google.com/spreadsheets/d/1Sbg6sWBy5ftrNg2pOd916pUn46a13fT1sBYQUx15rIE/edit?usp=sharing Enter your assignment link here Ya chay madhe Ho Ani bakeche pun resume, car game Ani figma replica"
Te rahila ahe maghe Resume paranta zale la Room shifting Ani SIH madhe time nahi bhetla re 🥲,Are kahi nahi Mala vatala visarlas Mahanun manalo
Mala parat access maghava lagtai vat ta,😅 Open ahe mala vata
Nai re Me pan kelela open adhi,Oh mug asel Tula access nahi tar sir ranna ekda sang
Maybe sir la notification yeil,Atleast jevda jala ahe tevda link pathav.
Aaj lecture madhe sangel,Ho chalel
Haa,Chalel mug chal. Me abyasala jato Bhetu
Yess Thx 👍🏻😁,No problem 😊👍
Aaz late yeil jara Bro Android dev cha deadline kadhi chi ahe??,Mostly November
"👍🏻 Me jeun rejoin karto, baher ahe, sry 😔",Me pun
Bro L3PP chi fees cash madhe havi ahe ka??,Hore Sir bolat hoto cash is much preferable
oh me sir la vicharu ka ekda??,Ho vichar
Jara late join karel Bro aaj me sir la bhetlo Sir bol le AI ML join kar Mala details sangshil ka?? Timing vagere Ani portion zala ahe to,"AIML che timings Tuesday 9PM - Main session Saturday 7PM - Practice session Portion completed Numpy, pandas, matploylib completed <This message was edited> Tu web madhe pun ahes na? Disath nahes re tu ajj kal. Kai jala ka?"
Thx Bhai 🥹🙏🏻 Aaj join karu na 9 la??,Aaj? Ka? Tuesday la
Oh 😂😂 Mala vatla Tuesday ahe Ig I can't wait for AI ML 😂😂,😂😂 You deleted this message thamb join karu nako direct sir bolle ahet ka group join karala? nahi tar sir mala oradtil
Vicharla nai,You deleted this message Ekda vicharun ghe ki sir add kartat ahet ki link pathavu
Yess Bro aaj web dev cha lecture kitivasta cha ahe??,Sir rangtil group var Mala he idea nahi ahe
Ohk,Tujya group members la call lag please
yes bro aaj cha AI ML session??,mostly hoil no messages na
ohh,hona sir tar kahi bolle nahi
haa baghu msg ala tar,ho chal abyas karu to parenta kahi kela nahi ahe ajun mostly <This message was edited>
same XD,tuja tar thik ahe autonomus chill kar
haa te tar ahe full portion kela ahe re thoda kami chill 😂😎,😅😂 ho chal mug all the best
meeting madhe ahes ka ata??,nahi re
k,sir bolle ka thambyala?
all the best to u too 👍🏻,bhende mala vatla 6.30 jale ahet. majya ghar cha clock 30minutes maghe ahe me full chill madhe laptop shut down karun baslo ahe
areeeeee 😂😂,kelas ka re register?
Haa webdev ahe udya??,ho dada bola to revision ghenar ahe
ohk ani AI cha??,no idea me nahi vicharla ahe ajun
achaa tula kahi kala la tar sang 👍🏻,Ho chalel
AI ML chalu ahe ka??,Check nahi kela pun message nahe ala ahe
Haa Bro Rushikesh sobat bolna zale la web dev sathi... To bol la tyala sodaicha ahe classes Sir la sangu ka ekda??,Me bolto tyacha she Kahi bola ka to reason?
"Nai na Clear nahi bolat hota ""Man nahi hot"" bola la",🤦‍♂️ sang sir ranna mala vatla ligit reason asel
same bro mala sir sobat bolaicha hota me sir la DM kela pan sir busy astat tr sir read nahi karat purna any idea sir che lecture kadhi astat online?? lecture zala ki sir sobat bolel,Monday Thursday la. Pun best Sunday la asel offline Kiva sky nantar
ohk thank u ❤️ AI ahe??,meeting madhe nahi ahet koni maybe next week pasun
haa kadachit Joining?? Aaz ahe ka ai ml??,mahit nahi re koni join nahi kela ahe
Bro web dev cha assignment kai ahe?? Me visarlo 🥹,Restaurant website with domain *dom
Te tar last time cha hota na,Fata don janani kele hote Mahanun sir bolle sarvani kara
Ohk Me maza laptop room var visarlo🥹,😅
Ata gava la Pentium vala desktop ahe 🥹,Lamb ahes ka room vun?
Try Karel tya var,Ha maja kar Pentium var
Haa gava la 😭😭😂😂 bro mala dom.html pathav na WebDev chya grp madhun mala error yeto ahe download kartan na <This message was edited> thx 🙏🏻,My pleasure
Bro web dev chya api vala assignment chi submission date kai ahe??,This Sunday
ohk 👍🏻 Late join karel,Me pun
Oh 😆 Bro pan 7 vasta tar ai-ml asel na,Ho me aum la bolo ahe sir ranna vicharala. Bhaguya
Bro aaj ajun lectures ahet ka??,practice with coordinator wala
Ohk Jara travel karnar ahe aaj Mhanun,tuja git jala ahe na barobar? any issues?
Haa Me Android chya time la kele la Ya lecture madhe insights ale ahe ajun,acha mug no issues jar kahi doubt asla tar mala kiva aum la vichar chalel
👍🏻,https://docs.google.com/forms/d/e/1FAIpQLSd1Kh5mig5gOVyTt-kC2MgUfsDubnkEWOamBTV5cxeWenNEMA/viewform?usp=header https://www.youtube.com/watch?v=p2-2j2EYpNE You deleted this message
zala ka kaam karun?? hmmm,are we have to send the question-answer and the prompt given by sir to chatgpt via api call andthen show the data in pdf format
"ohhh mhanje form data ghyaycha Ani gpt la promt format madhe dyaycha, right?? mugh output user la dakhvaicha",https://drive.google.com/drive/folders/1m77pfP6LuEaOvMUJ6Kpypao19BVUKDPr?usp=drive_link ho
req send keli kai ahe??,"ho folder ahe for the form and sheet with response folder try karun baug tu pan Please provide the following information to receive personalized career suggestions: 1. Your Name: Ans : 2. Grade/Standard (10th or 12th): Ans: Marks in my last exam subj wise Ans: 1) 2) 3) 4) 5) 6) 3. Subjects/Stream you're currently studying: 4. Favourite Subjects (and why): My favourite Subjects is Because 5. Hobbies/Activities you enjoy outside of school: 6. What skills do you believe you're good at? (e.g., communication, problem-solving, creativity, etc.): 7. Which of the following areas excite you the most? (Pick up to 3): Science & Technology Business & Management Medicine & Healthcare Arts & Design Media & Entertainment Law & Government Social Work & Community Service Sports & Fitness Data & Analytics Others (Please specify) 8. What are you most curious about in the world around you ? 9. Define any one problem in the world that u are most concerned about which you think given opportunity you'll fix that. 10. What kind of work environment do you see yourself in? (e.g., Office, outdoors, lab, creative studio, etc.): 11.  Any specific career paths you're currently considering: 12. Your long-term goals (if any) or dreams for the future : Considering all questions and answers above give me a summerised career option for me . Don't confuse me with a lot of options. Tell me, best ones for me . If you need more information, ask follow-up questions. Act like a professional career coach. Do consider industry availability in my country. Where are most career opportunities available for that industry in my country. Best institutes that I should consider for the same preferably near my location,  if not then anywhere in india. What should I prepare based on my current education for the suggested career? Any entrance test I should prepare for suggested career along with relevant website links for it. Eligibility for entrance test and career options. Cut off marks or score of last year for that course admission and how much I should aim to score in my current grade to be eligible for entrance and course. try karun bhag chalto ahe ka? pdf nahi banat ahe bhug karta yeta ahe ka tula"
banat hota na adhi pan mala nai vatay sir la he pahije hota 😅,maje? You deleted this message 😅
call karto ahes ka??,Ye vicharat hoto
"https://youtu.be/wy7HnoSMyeA?feature=shared ha, apan ardha kela hota at that time <This message was edited>",oh acha
me ratri join karto ghar che sagle baher jat ahet zala ka project??,nahi
ahes ka meet madhe??,ha
got mail 🥳🥳 but no open 😖,ho karto ahe few adjustments sangto me tula
👍🏻,or it is not in pdf
maybe not in pdf,ha docs madhe perfect ahe
Google kar ek example code ahe ka te bagh me pan baghto,ho Shivam ikna me zopto ata
ha ha,me purna divar hech karat hoto
aaj divas bhar kaam kela ahe,sakale bhagto me.
haa,tu basto ahes ka?
u deserve some rest 👍🏻 ho pan phone madhe nahi hot ahe baghaila,https://stackoverflow.com/questions/70294138/pdf-attachment-corrupted
